,gene_ID,count,mean,std,p_val,p_corr
0,ECB_03131,4.0,1.0552051828970077e-06,6.153503805170858e-07,0.012,1.0
1,ECB_02465,4.0,8.758779556930065e-07,6.650847679870248e-07,0.01,1.0
2,ECB_01320,6.0,8.571566986756701e-07,6.102690054776373e-07,0.002,1.0
3,ECB_03984,4.0,8.135314771220765e-07,5.216561939667731e-07,0.02,1.0
4,ECB_01514,8.0,8.037306216524595e-07,7.496737506596433e-07,0.01,1.0
5,ECB_04271,4.0,7.314399270101946e-07,8.213714331542678e-07,0.026,1.0
6,ECB_03229,6.0,7.022836429463665e-07,5.554753591590054e-07,0.01,1.0
7,ECB_02164,5.0,6.971248513773339e-07,6.746526789188766e-07,0.042,1.0
8,ECB_02683,5.0,6.88218455287546e-07,3.057775493755661e-07,0.028,1.0
9,ECB_02308,4.0,6.766472844665519e-07,8.049487223786835e-07,0.026,1.0
10,ECB_02636,7.0,6.59464814800837e-07,5.427043744253352e-07,0.014,1.0
11,ECB_02505,5.0,6.582809533442242e-07,3.401425551884931e-07,0.044,1.0
12,ECB_01937,9.0,6.53906177425811e-07,5.132375890029677e-07,0.018,1.0
13,ECB_02657,4.0,6.535455071575042e-07,3.573399345452318e-07,0.062,1.0
14,ECB_01981,4.0,6.384313404691e-07,4.5090406394769346e-07,0.048,1.0
15,ECB_02642,5.0,6.374430711675099e-07,5.08488196945761e-07,0.038,1.0
16,ECB_01521,48.0,6.364206330103358e-07,1.2267652302504978e-06,0.008,1.0
17,ECB_03573,4.0,6.306797188048326e-07,5.167697667614661e-07,0.054,1.0
18,ECB_03259,7.0,6.28791533429994e-07,5.611865436222181e-07,0.022,1.0
19,ECB_02464,7.0,6.255949832153449e-07,6.385724783069438e-07,0.024,1.0
20,ECB_02356,10.0,6.235409846184577e-07,5.225640045791743e-07,0.014,1.0
21,ECB_02712,7.0,6.095228231999518e-07,4.315351517225503e-07,0.018,1.0
22,ECB_02959,9.0,5.954405383236315e-07,3.8024925203935534e-07,0.014,1.0
23,ECB_00141,4.0,5.933574564129013e-07,5.745930943956215e-07,0.07,1.0
24,ECB_00351,7.0,5.931094025837658e-07,4.684057115441607e-07,0.026,1.0
25,ECB_03840,12.0,5.927391660065104e-07,5.300675326476466e-07,0.024,1.0
26,ECB_02809,7.0,5.882771178817301e-07,6.789346335753381e-07,0.04,1.0
27,ECB_00306,6.0,5.822001106160751e-07,6.197252099739729e-07,0.028,1.0
28,ECB_01627,6.0,5.766248447406935e-07,5.738482777283045e-07,0.062,1.0
29,ECB_02486,6.0,5.727659197165272e-07,4.918408384117645e-07,0.056,1.0
30,ECB_03179,5.0,5.705550256448484e-07,5.621816152027633e-07,0.07,1.0
31,ECB_03674,7.0,5.679721472057523e-07,1.9365873547782367e-07,0.06,1.0
32,ECB_01072,4.0,5.620176720857097e-07,4.169141398361452e-07,0.092,1.0
33,ECB_01789,8.0,5.612885676520632e-07,3.6240748928320507e-07,0.042,1.0
34,ECB_01644,9.0,5.521685074011285e-07,4.6109421024118854e-07,0.052,1.0
35,ECB_03280,16.0,5.512319575049991e-07,5.037199440989514e-07,0.014,1.0
36,ECB_00672,4.0,5.504295075455541e-07,4.2461019203722847e-07,0.104,1.0
37,ECB_03251,9.0,5.464542582173878e-07,5.487237099793629e-07,0.028,1.0
38,ECB_02552,12.0,5.463563720997786e-07,5.661883558627842e-07,0.036,1.0
39,ECB_01404,4.0,5.383954671120369e-07,5.115041702278641e-07,0.12,1.0
40,ECB_02769,4.0,5.379030137594061e-07,2.702046461736794e-07,0.12,1.0
41,ECB_00542,9.0,5.362154173385356e-07,4.39057737670816e-07,0.046,1.0
42,ECB_00786,4.0,5.333756547047166e-07,5.24064756726219e-07,0.1,1.0
43,ECB_01875,4.0,5.299324779788846e-07,4.2344766731200644e-07,0.122,1.0
44,ECB_03930,9.0,5.258283943071739e-07,5.543293858374503e-07,0.052,1.0
45,ECB_03435,10.0,5.221360123906945e-07,4.7090121532523215e-07,0.054,1.0
46,ECB_00151,4.0,5.215146117192327e-07,1.5390537519701537e-07,0.11,1.0
47,ECB_01035,18.0,5.214060726452176e-07,5.569380198663038e-07,0.024,1.0
48,ECB_03253,4.0,5.197164424700342e-07,2.0853969457215343e-07,0.102,1.0
49,ECB_01721,6.0,5.177760722671212e-07,3.60900600230726e-07,0.086,1.0
50,ECB_01513,39.0,5.119144301486497e-07,5.394323960418596e-07,0.026,1.0
