,gene_ID,count,mean,std,p_val,p_corr
1144,ECB_00477,4.0,3.790886594707798e-07,3.429279343597176e-07,0.546,1.0
1145,ECB_01898,17.0,3.7906510924560505e-07,3.444621437634154e-07,0.706,1.0
1146,ECB_02584,60.0,3.7885824183667253e-07,3.5924514746660056e-07,0.894,1.0
1147,ECB_02278,123.0,3.787465880220518e-07,3.1304936159035605e-07,0.984,1.0
1148,ECB_02979,16.0,3.7840912235517505e-07,4.1617110805835495e-07,0.718,1.0
1149,ECB_02710,36.0,3.783193125476136e-07,4.029866550859633e-07,0.822,1.0
1150,ECB_04049,54.0,3.7812986381935195e-07,3.431008513577615e-07,0.868,1.0
1151,ECB_00271,97.0,3.7764417715076127e-07,4.213399901151542e-07,0.958,1.0
1152,ECB_02947,103.0,3.7764369019952626e-07,3.6495669882922624e-07,0.938,1.0
1153,ECB_01944,46.0,3.7716027808996594e-07,3.612048676091084e-07,0.872,1.0
1154,ECB_02527,43.0,3.771041272305609e-07,3.9261506784516453e-07,0.86,1.0
1155,ECB_04119,17.0,3.7708076816380555e-07,3.9169124848139954e-07,0.754,1.0
1156,ECB_02247,4.0,3.767632569578314e-07,3.5430344337916354e-07,0.522,1.0
1157,ECB_03544,135.0,3.766800370954758e-07,3.396038366527694e-07,0.978,1.0
1158,ECB_01456,158.0,3.765042056030256e-07,3.6730644643067813e-07,0.976,1.0
1159,ECB_02702,131.0,3.764428763851865e-07,3.2842314926821067e-07,0.97,1.0
1160,ECB_01637,24.0,3.764126520176295e-07,2.7878783475722776e-07,0.804,1.0
1161,ECB_02279,23.0,3.7638694822461455e-07,4.806618661523255e-07,0.78,1.0
1162,ECB_01380,8.0,3.763653933239174e-07,2.462670380081376e-07,0.624,1.0
1163,ECB_01549,33.0,3.763477786848748e-07,3.373995139330824e-07,0.836,1.0
1164,ECB_02688,6.0,3.7614456251530574e-07,1.5131200727474914e-07,0.626,1.0
1165,ECB_02950,13.0,3.7608664436684815e-07,3.73757952818387e-07,0.702,1.0
1166,ECB_02258,22.0,3.7591812759402296e-07,2.333031396808617e-07,0.776,1.0
1167,ECB_01732,5.0,3.756403483647639e-07,3.498589631227724e-07,0.542,1.0
1168,ECB_01052,8.0,3.754574957389884e-07,2.6484172294698176e-07,0.65,1.0
1169,ECB_01224,33.0,3.7539938556974875e-07,3.6952885673554857e-07,0.82,1.0
1170,ECB_04085,15.0,3.7536614427714864e-07,3.614964123734059e-07,0.71,1.0
1171,ECB_03291,5.0,3.7530239082285764e-07,2.5943172168223775e-07,0.578,1.0
1172,ECB_00262,40.0,3.749753185194387e-07,3.130705516460145e-07,0.862,1.0
1173,ECB_03005,40.0,3.749340374965839e-07,2.8469571074103054e-07,0.862,1.0
1174,ECB_03945,4.0,3.7490762109371833e-07,2.1842469055578182e-07,0.576,1.0
1175,ECB_04066,19.0,3.748683509729591e-07,3.57642428743141e-07,0.776,1.0
1176,ECB_00676,32.0,3.7470030211979896e-07,3.82544841755907e-07,0.812,1.0
1177,ECB_02566,10.0,3.7461352464460045e-07,3.0246678507222054e-07,0.704,1.0
1178,ECB_00228,32.0,3.7450251763797267e-07,2.846414851034659e-07,0.818,1.0
1179,ECB_03367,36.0,3.7420904484993646e-07,3.2907840454314724e-07,0.816,1.0
1180,ECB_02017,52.0,3.739176638941222e-07,4.825933284589772e-07,0.894,1.0
1181,ECB_00242,6.0,3.736712363885046e-07,2.707287228895777e-07,0.6,1.0
1182,ECB_00105,6.0,3.7335250786445375e-07,1.1690790177771785e-07,0.62,1.0
1183,ECB_01039,36.0,3.732451821974313e-07,3.9851090387619204e-07,0.868,1.0
1184,ECB_02896,6.0,3.7295706819157384e-07,4.0144780131195774e-07,0.626,1.0
1185,ECB_00534,73.0,3.7286548477657675e-07,3.017862698637497e-07,0.946,1.0
1186,ECB_00253,124.0,3.7277989703734164e-07,3.465709360149643e-07,0.982,1.0
1187,ECB_02603,21.0,3.725614845450374e-07,3.493377178858899e-07,0.758,1.0
1188,ECB_01878,12.0,3.7254436369931757e-07,3.8839704402090433e-07,0.668,1.0
1189,ECB_03572,7.0,3.724247973989288e-07,2.568625779586413e-07,0.644,1.0
1190,ECB_02045,58.0,3.723974430415406e-07,3.638338032846228e-07,0.878,1.0
1191,ECB_04236,4.0,3.7197158603270526e-07,2.6358815788478884e-07,0.59,1.0
1192,ECB_02170,6.0,3.719244397349784e-07,1.545535158825428e-07,0.616,1.0
1193,ECB_02116,8.0,3.7191844218225425e-07,3.017425058113039e-07,0.626,1.0
1194,ECB_02948,49.0,3.7186532056182623e-07,3.2572317090939023e-07,0.912,1.0
1195,ECB_00801,84.0,3.71719446520668e-07,3.907633603640873e-07,0.95,1.0
1196,ECB_03995,18.0,3.714622284577467e-07,3.562944279844559e-07,0.756,1.0
1197,ECB_03383,8.0,3.7128932835899944e-07,3.236937556043589e-07,0.672,1.0
