,gene_ID,count,mean,std,p_val,p_corr
72,ECB_04265,4.0,2.845581756816577e-07,2.0057934423777056e-07,0.148,1.0
73,ECB_03562,6.0,2.8346671045515454e-07,2.5553246681625173e-07,0.106,1.0
74,ECB_03015,4.0,2.8285723956885147e-07,2.5136854754818906e-07,0.13,1.0
75,ECB_04256,8.0,2.8126182158477705e-07,2.6049318954630655e-07,0.098,1.0
76,ECB_04053,4.0,2.810770917509896e-07,3.4104044054368885e-07,0.16,1.0
77,ECB_03085,5.0,2.8098684933531534e-07,2.4706674480547237e-07,0.164,1.0
78,ECB_01253,11.0,2.8019577536792354e-07,2.4229381365967725e-07,0.062,1.0
79,ECB_00291,7.0,2.8009824436334384e-07,2.2105022993603098e-07,0.154,1.0
80,ECB_02961,5.0,2.788987595029483e-07,1.473033204625766e-07,0.174,1.0
81,ECB_02026,6.0,2.7889119418861187e-07,1.7917483822310176e-07,0.13,1.0
82,ECB_02337,4.0,2.787091495265901e-07,1.4178579564446353e-07,0.168,1.0
83,ECB_03919,4.0,2.7852633160358326e-07,2.2415298439242023e-07,0.148,1.0
84,ECB_02677,7.0,2.779830648269126e-07,2.4676905933965413e-07,0.126,1.0
85,ECB_00988,16.0,2.768736252569577e-07,2.302631165419251e-07,0.054,1.0
86,ECB_02705,4.0,2.766353008208306e-07,4.907812031904375e-08,0.188,1.0
87,ECB_00547,5.0,2.748688814093348e-07,1.8562527323357906e-07,0.144,1.0
88,ECB_03871,11.0,2.745200780759237e-07,1.9115610867252303e-07,0.092,1.0
89,ECB_03787,17.0,2.7375655221282997e-07,2.534156761787199e-07,0.076,1.0
90,ECB_03992,5.0,2.7253403377235205e-07,1.8073642109114647e-07,0.166,1.0
91,ECB_02933,8.0,2.721750240374125e-07,2.4509452328875684e-07,0.14,1.0
92,ECB_02876,8.0,2.7151292792060856e-07,1.7519194706857107e-07,0.118,1.0
93,ECB_02535,19.0,2.704834126199868e-07,2.0327224304218206e-07,0.056,1.0
94,ECB_00046,4.0,2.69697533906841e-07,1.4052106600955482e-07,0.186,1.0
95,ECB_03792,5.0,2.687414640168475e-07,1.5228830642337551e-07,0.154,1.0
96,ECB_02520,10.0,2.668427701696231e-07,2.2425496451394518e-07,0.134,1.0
97,ECB_02358,5.0,2.653171328102366e-07,1.4682751179061613e-07,0.194,1.0
98,ECB_01120,10.0,2.6523144942350913e-07,1.3852965207157115e-07,0.13,1.0
99,ECB_01701,5.0,2.6493843528417625e-07,2.1099953190929258e-07,0.202,1.0
100,ECB_01481,12.0,2.645107952709923e-07,1.684311624740913e-07,0.112,1.0
101,ECB_00232,10.0,2.6416058469029464e-07,2.923932862538372e-07,0.104,1.0
102,ECB_02401,9.0,2.637875400925516e-07,2.8011973286039974e-07,0.114,1.0
103,ECB_01574,8.0,2.6368525529415394e-07,2.737279007320501e-07,0.148,1.0
104,ECB_03443,14.0,2.634737173316652e-07,2.140558805257878e-07,0.086,1.0
105,ECB_00317,5.0,2.6341789896022795e-07,2.4009839648193754e-07,0.178,1.0
106,ECB_00562,8.0,2.6317420579683555e-07,2.461151496868258e-07,0.124,1.0
107,ECB_02336,4.0,2.6298515335813627e-07,8.268381009027627e-08,0.204,1.0
108,ECB_03396,18.0,2.607109163953934e-07,2.968555471765598e-07,0.092,1.0
109,ECB_03920,53.0,2.6047703793600916e-07,2.2413640442383596e-07,0.016,1.0
110,ECB_02924,8.0,2.6042937108439874e-07,1.586054747602095e-07,0.134,1.0
111,ECB_01017,18.0,2.5963757151838484e-07,2.37665772702165e-07,0.096,1.0
112,ECB_04279,5.0,2.5876141726444144e-07,1.2285345215187319e-07,0.206,1.0
113,ECB_00719,6.0,2.5817448450329803e-07,2.335330557178046e-07,0.186,1.0
114,ECB_03302,5.0,2.575472405458432e-07,1.9071565524100543e-07,0.18,1.0
115,ECB_02545,27.0,2.5701261824104484e-07,1.7295200004072378e-07,0.072,1.0
116,ECB_01445,7.0,2.569801756991721e-07,2.1612513530674507e-07,0.196,1.0
117,ECB_00711,7.0,2.5675178956281776e-07,1.2554645746702813e-07,0.186,1.0
118,ECB_00621,4.0,2.5646514990972503e-07,1.8136357849643493e-07,0.21,1.0
119,ECB_04101,4.0,2.562759208653075e-07,2.144751995919959e-07,0.228,1.0
120,ECB_02106,5.0,2.559243521198921e-07,8.725449311352308e-08,0.24,1.0
121,ECB_03084,5.0,2.5524868751360024e-07,1.68712427956903e-07,0.182,1.0
122,ECB_04078,8.0,2.550241797081392e-07,2.7746312796197507e-07,0.184,1.0
123,ECB_03800,4.0,2.5500785659970066e-07,1.0653641726816355e-07,0.24,1.0
124,ECB_02878,4.0,2.5496798648414403e-07,1.742227662568435e-07,0.22,1.0
125,ECB_03439,24.0,2.547723665125433e-07,3.129913453727055e-07,0.094,1.0
126,ECB_03699,13.0,2.5474903714419145e-07,2.4479518378098573e-07,0.168,1.0
127,ECB_02794,11.0,2.5442654140991083e-07,1.9342354703645487e-07,0.146,1.0
128,ECB_01043,25.0,2.5398971757279565e-07,1.7264094370769203e-07,0.088,1.0
129,ECB_03445,31.0,2.539275472514356e-07,2.13070415365911e-07,0.056,1.0
130,ECB_03224,11.0,2.5378905343610513e-07,1.7598890703103725e-07,0.114,1.0
131,ECB_00984,15.0,2.537704192269016e-07,2.6388035695073913e-07,0.114,1.0
132,ECB_01274,8.0,2.537535466953235e-07,1.48737838687108e-07,0.16,1.0
133,ECB_02523,33.0,2.536833840686162e-07,2.478705382326626e-07,0.048,1.0
134,ECB_03431,32.0,2.5294202827280145e-07,2.2698152747334816e-07,0.072,1.0
135,ECB_01973,14.0,2.529376452652389e-07,1.677733337174692e-07,0.146,1.0
136,ECB_01451,11.0,2.5289053675116536e-07,1.9672204048022244e-07,0.16,1.0
137,ECB_01623,10.0,2.517554383511303e-07,2.3077470236954735e-07,0.19,1.0
138,ECB_02140,4.0,2.5081133657925606e-07,3.9410853192539995e-07,0.236,1.0
139,ECB_01393,9.0,2.5054982319312655e-07,2.298325095085649e-07,0.178,1.0
140,ECB_02435,12.0,2.503042427039989e-07,1.7294729428218127e-07,0.13,1.0
141,ECB_01318,10.0,2.495807638619325e-07,2.1273866836017058e-07,0.154,1.0
142,ECB_00244,7.0,2.4944255040181287e-07,1.987210147722952e-07,0.17,1.0
143,ECB_03823,4.0,2.493442029973931e-07,3.264577937821742e-07,0.238,1.0
144,ECB_00213,18.0,2.4917785168690867e-07,2.019129380852527e-07,0.14,1.0
145,ECB_03942,5.0,2.490784109208967e-07,1.0610180068583986e-07,0.23,1.0
146,ECB_00149,10.0,2.485066222215419e-07,1.3033028251785346e-07,0.17,1.0
147,ECB_01844,22.0,2.483673935739415e-07,3.086352717309903e-07,0.106,1.0
148,ECB_03381,10.0,2.4836213964497616e-07,1.990018998553128e-07,0.162,1.0
149,ECB_03967,4.0,2.4821882273282633e-07,6.856014396409877e-08,0.214,1.0
150,ECB_02796,5.0,2.4812147343527474e-07,9.485361329829263e-08,0.228,1.0
151,ECB_02698,11.0,2.478971268993763e-07,2.6572498592443953e-07,0.162,1.0
152,ECB_04193,10.0,2.476313417899141e-07,1.8595680179454596e-07,0.19,1.0
153,ECB_00104,5.0,2.473633271686685e-07,1.8005587531976336e-07,0.236,1.0
154,ECB_01316,20.0,2.4726345116274333e-07,2.2409710369402526e-07,0.106,1.0
155,ECB_03896,16.0,2.470813811522098e-07,1.8945971447087641e-07,0.124,1.0
156,ECB_00262,30.0,2.469065029335993e-07,2.3398779928528247e-07,0.082,1.0
