,gene_ID,count,mean,std,p_val,p_corr
0,ECB_03370,4.0,7.240279789820883e-07,4.0505611631682595e-07,0.002,0.45825000000000005
1,ECB_01904,6.0,6.640499250510945e-07,3.8544095057654986e-07,0.002,0.45825000000000005
2,ECB_00214,4.0,6.27416088333955e-07,4.1387642097271647e-07,0.018,1.0
3,ECB_03229,5.0,6.129275385865717e-07,5.60423001065493e-07,0.006,1.0
4,ECB_02534,16.0,5.608330485641859e-07,4.237795935312907e-07,0.002,0.45825000000000005
5,ECB_02521,21.0,5.560964519985456e-07,5.880283876084206e-07,0.0,0.0
6,ECB_03970,4.0,5.341506213063086e-07,7.973114968891566e-07,0.022,1.0
7,ECB_04275,6.0,4.832636542008248e-07,4.2249954349400763e-07,0.016,1.0
8,ECB_02924,7.0,4.7439842259698634e-07,3.7576297469520686e-07,0.026,1.0
9,ECB_02532,26.0,4.690279776726574e-07,3.82693976053536e-07,0.0,0.0
10,ECB_04098,5.0,4.57165110208573e-07,3.2457078255382855e-07,0.028,1.0
11,ECB_00551,4.0,4.4924258023349576e-07,2.5784445252976764e-07,0.07,1.0
12,ECB_00586,11.0,4.4844497561646825e-07,3.3325216187993065e-07,0.014,1.0
13,ECB_03291,6.0,4.4724165277215374e-07,4.979332360534175e-07,0.036,1.0
14,ECB_03126,8.0,4.4270825453563414e-07,3.7608416530594056e-07,0.022,1.0
15,ECB_01605,4.0,4.340643764878456e-07,3.90079314665229e-07,0.062,1.0
16,ECB_01063,4.0,4.3305695455211953e-07,4.585916895777954e-07,0.056,1.0
17,ECB_00428,4.0,4.3035570371396595e-07,3.5604498400625526e-07,0.086,1.0
18,ECB_02705,4.0,4.2879920195934527e-07,3.582296068222683e-07,0.068,1.0
19,ECB_02634,7.0,4.283569063653809e-07,2.5696207385351285e-07,0.044,1.0
20,ECB_03993,6.0,4.219015013282905e-07,4.2301912024683744e-07,0.05,1.0
21,ECB_02561,9.0,4.208844113208171e-07,3.339286170235383e-07,0.032,1.0
22,ECB_01216,5.0,4.1924521515769827e-07,2.3130256224679034e-07,0.068,1.0
23,ECB_02526,29.0,4.1452740284349774e-07,3.083926419735745e-07,0.002,0.45825000000000005
24,ECB_03950,6.0,4.141796675404679e-07,2.2456264791288263e-07,0.058,1.0
25,ECB_00531,13.0,4.131681144487125e-07,3.3365484031885206e-07,0.014,1.0
26,ECB_03893,11.0,4.1255279895312293e-07,3.443959043613007e-07,0.026,1.0
27,ECB_01423,4.0,4.084126704160682e-07,3.5927345003050037e-07,0.086,1.0
28,ECB_03999,7.0,4.0659608967922524e-07,2.465191162067684e-07,0.046,1.0
29,ECB_00302,4.0,4.041909341782183e-07,3.280111096981932e-07,0.084,1.0
30,ECB_03369,13.0,4.0379992471621865e-07,2.5509314490540867e-07,0.024,1.0
31,ECB_01140,5.0,4.0040986342910144e-07,3.600347593560364e-07,0.084,1.0
32,ECB_03027,4.0,4.0020456596216176e-07,1.1478708721137786e-07,0.09,1.0
33,ECB_02613,7.0,3.9991802422256095e-07,3.2894781551139636e-07,0.066,1.0
34,ECB_00974,4.0,3.965776643764741e-07,3.4166451503142987e-07,0.074,1.0
35,ECB_02523,33.0,3.9595131405387966e-07,3.9296504195457634e-07,0.002,0.45825000000000005
36,ECB_02632,4.0,3.955569913576484e-07,4.1957364103360525e-07,0.09,1.0
37,ECB_04090,4.0,3.9521526164858766e-07,2.8842484447061323e-07,0.088,1.0
38,ECB_00580,7.0,3.9507689347315437e-07,4.232035362146748e-07,0.056,1.0
39,ECB_02517,11.0,3.936670021844417e-07,3.396344018849753e-07,0.038,1.0
40,ECB_02049,15.0,3.901741303316528e-07,3.028934056453963e-07,0.03,1.0
